Date,Open,High,Low,Close,Volume
1993-01-29,24.070643239136608,24.070643239136608,23.950888795160804,24.05353546142578,1003200
1993-02-01,24.070641295384554,24.224611282348636,24.070641295384554,24.224611282348633,480500
1993-02-02,24.207499311203854,24.293038178027896,24.15617599110943,24.275930404663086,201300
1993-02-03,24.31014783345838,24.549656679108217,24.293040058769108,24.532548904418945,529400
1993-02-04,24.618100346459283,24.686531480153402,24.344375811682806,24.635208129882812,531500
1993-02-05,24.618083953857422,24.669407269953023,24.481221777602478,24.618083953857422,492100
1993-02-08,24.618083953857422,24.703622814016757,24.583868409793684,24.618083953857422,596100
1993-02-09,24.53256422594096,24.53256422594096,24.39570194295105,24.447025299072266,122100
1993-02-10,24.447014226853472,24.49833755973,24.378583116351432,24.481229782104492,379600
1993-02-11,24.515443783310424,24.703629325261865,24.515443783310424,24.600982666015625,19500
1993-02-12,24.566769841173436,24.566769841173436,24.412799835205078,24.412799835205078,42500
1993-02-16,24.344369708677572,24.344369708677572,23.762705218097786,23.796920776367188,374800
1993-02-17,23.796912002563477,23.831127548217772,23.694265365600586,23.779804229736328,210900
1993-02-18,24.053542882096774,24.053542882096774,23.43766269450397,23.762710571289062,378100
1993-02-19,23.762689615082706,23.848228454589844,23.728474079279852,23.848228454589844,34900
1993-02-22,23.916676704673957,23.96800004524193,23.848245583916665,23.93378448486328,513600
1993-02-23,24.002216378677215,24.01932415941754,23.796923009793304,23.916677474975586,373700
1993-02-24,23.933779084749816,24.224611282348636,23.933779084749816,24.224611282348633,26300
1993-02-25,24.207499311203854,24.293038178027896,24.15617599110943,24.275930404663086,44500
1993-02-26,24.327257922801394,24.327257922801394,24.19039571226524,24.310150146484375,66200
1993-03-01,24.395688274332393,24.395688274332393,24.20750274065942,24.241718292236328,66500
1993-03-02,24.25882713519482,24.600982666015625,24.224611582112743,24.600982666015625,182400
1993-03-03,24.635203142245388,24.72074204204485,24.600987582325605,24.70363426208496,280100
1993-03-04,24.737850263590268,24.737850263590268,24.5667724609375,24.5667724609375,89500
1993-03-05,24.600983454528468,24.703630117064748,24.481229014902805,24.498336791992188,40000
1993-03-08,24.54965475478459,25.045780181884766,24.54965475478459,25.045780181884766,50800
1993-03-09,24.99445686444916,25.011564637799225,24.90891799769882,24.960241317749023,169300
1993-03-10,24.960244742366097,25.011568069458008,24.857598088182275,25.011568069458008,194400
1993-03-11,25.02866934945063,25.097100434479888,24.908914950649432,24.943130493164062,70900
1993-03-12,24.73785632761997,24.754964112078902,24.53256291411275,24.686532974243164,643600
1993-03-15,24.669398932621394,24.80626106262207,24.669398932621394,24.80626106262207,310800
1993-03-16,24.80626106262207,24.874692127622406,24.80626106262207,24.80626106262207,30800
1993-03-17,24.772052370451295,24.772052370451295,24.618082431684677,24.652297973632812,21800
1993-03-18,24.754937763871816,24.908907660122576,24.754937763871816,24.80626106262207,59300
1993-03-19,24.906240645917563,24.906240645917563,24.768732070922848,24.76873207092285,66900
1993-03-22,24.528097944665603,24.682795128619347,24.51090936867074,24.631229400634766,183400
1993-03-23,24.699983146529345,24.717171722135834,24.648417419709865,24.68279457092285,55200
1993-03-24,24.648417419709865,24.785926024561803,24.52809739046442,24.68279457092285,37200
1993-03-25,24.699972002234013,24.88904624859767,24.66559486653153,24.837480545043945,110100
1993-03-26,24.820301711600774,24.837490286193294,24.682793114860605,24.699981689453125,101500
1993-03-29,24.717163458683387,24.923426297003413,24.717163458683387,24.8031063079834,87100
1993-03-30,24.837483364545484,24.87186050415039,24.803106224940578,24.87186050415039,56000
1993-03-31,24.940616239650616,25.009370522875013,24.854673385620117,24.854673385620117,111600
1993-04-01,24.889052074043224,24.889052074043224,24.71716635529983,24.76873207092285,129500
