Date,Open,High,Low,Close,Volume
2000-05-26,32.37242601020485,32.5057373046875,32.216896166641746,32.5057373046875,74800
2000-05-30,32.97233129915,33.705543518066406,32.97233129915,33.705543518066406,57600
2000-05-31,33.81664188178302,34.261012997180956,33.81664188178302,33.82775115966797,36000
2000-06-01,34.5220623463488,34.59427261352539,34.5220623463488,34.59427261352539,7000
2000-06-02,36.1606833873651,36.393978118896484,36.1606833873651,36.393978118896484,29400
2000-06-05,36.30510298411051,36.66059970855713,36.216228802998856,36.26066589355469,48400
2000-06-06,36.832807504436346,37.26051466441849,36.50508383639808,36.61617660522461,151800
2000-06-07,36.39398379239169,36.660606384277344,36.06070555253462,36.660606384277344,131000
2000-06-08,37.060528047174614,37.060528047174614,36.571720123291016,36.571720123291016,91400
2000-06-09,36.927230926058186,37.21607208251953,36.905012375561164,37.21607208251953,41600
2000-06-12,37.327180095790546,37.327180095790546,36.0829407592642,36.110713958740234,85200
2000-06-13,36.02181120892197,36.571720123291016,35.682978443502655,36.571720123291016,168200
2000-06-14,36.87167685488932,36.87167685488932,36.393978118896484,36.393978118896484,43200
2000-06-15,36.17180054827434,36.43842315673828,35.821858374665425,36.43842315673828,26800
2000-06-16,36.59396124675477,36.616179802460145,36.23846435546875,36.23846435546875,30200
2000-06-19,36.43842797530325,37.14942169189453,36.271788822977165,37.14942169189453,59200
2000-06-20,37.20497541716604,37.449379555469314,37.06055478998684,37.39383316040039,47000
2000-06-21,37.08169918409964,37.659711281693525,37.08169918409964,37.593017578125,66800
2000-06-22,37.70417383705697,37.70417383705697,36.459224700927734,36.459224700927734,139600
2000-06-23,36.81493078410955,36.81493078410955,35.92568124826149,36.21468734741211,235800
2000-06-26,36.35918012425855,36.6593017578125,36.192445883395244,36.6593017578125,93600
2000-06-27,36.714881339928134,37.03723421878309,36.08129119873047,36.08129119873047,112800
2000-06-28,36.23689802793356,37.12614705929389,36.23689802793356,36.992759704589844,170600
2000-06-29,36.8149150806469,36.8816087673872,36.30359681563791,36.41475296020508,212200
2000-06-30,36.43699331362862,36.7649040222168,36.13687164814113,36.7649040222168,1171800
2000-07-03,36.68152940507865,37.28177261352539,36.6370669451937,37.28177261352539,15800
2000-07-05,37.07057933324209,37.08169494923407,36.731553045486805,36.85938262939453,138800
2000-07-06,36.87049149628368,37.292884826660156,36.52590746360813,37.292884826660156,154600
2000-07-07,37.29846643836578,37.6708397435916,37.29846643836578,37.526336669921875,71800
2000-07-10,37.504068860732644,37.90423082842274,37.504068860732644,37.770843505859375,44800
2000-07-11,37.70416342488583,37.91536009501343,37.59300728271341,37.72639465332031,253200
2000-07-12,37.9264846308117,38.48226547241211,37.88202216348367,38.48226547241211,45200
2000-07-13,38.515613027584166,38.60453796386719,38.415572474265765,38.60453796386719,102600
2000-07-14,38.80462797052978,38.80462797052978,38.32665632838347,38.63789367675781,54800
2000-07-17,38.671230202421135,38.83796445164112,38.57118965288915,38.771270751953125,46600
2000-07-18,38.515621333305866,38.515621333305866,38.10434341430664,38.10434341430664,235400
2000-07-19,37.98205448046433,37.98205448046433,37.4373893737793,37.4373893737793,35400
2000-07-20,37.79308550825743,38.05986022949219,37.79308550825743,38.05986022949219,150400
2000-07-21,37.837578328450526,37.837578328450526,37.01502227783203,37.01502227783203,150600
2000-07-24,37.215079520726995,37.215079520726995,36.39808180723433,36.47589111328125,37000
2000-07-25,36.76489213087263,36.76489213087263,36.32582539189471,36.54813766479492,36800
2000-07-26,36.28136805337352,36.481449127197266,35.90343713615088,36.481449127197266,15800
2000-07-27,36.40919083700443,36.40919083700443,35.48103713989258,35.48103713989258,275000
2000-07-28,35.686675640393275,35.686675640393275,34.76963756522354,34.85856246948242,171600
2000-07-31,35.03641489133313,35.7478141784668,34.63625279232044,35.7478141784668,166400
2000-08-01,35.481061249495674,35.61444869780205,35.3143269391127,35.514408111572266,263400
2000-08-02,35.303198194503786,35.770054090023045,35.21427326202393,35.56997299194336,388600
2000-08-03,34.88079647185879,35.614426990387365,34.88079647185879,35.547733306884766,1084200
2000-08-04,35.97011409966042,35.98122970970358,35.51437408789093,35.72557067871094,570400
2000-08-07,35.85896370023812,36.38695526123047,35.85896370023812,36.38695526123047,88200
2000-08-08,36.281381062600715,36.392537254581725,36.21468734741211,36.21468734741211,49600
2000-08-09,36.481464076399675,36.481464076399675,35.95347213745117,35.95347213745117,23000
2000-08-10,35.959010841834605,35.992357683418994,35.636658039852165,35.7478141784668,43000
2000-08-11,35.392133381664024,36.37030792236328,35.392133381664024,36.37030792236328,176000
2000-08-14,36.25915035794738,36.74823760986328,36.23691911922393,36.74823760986328,56800
2000-08-15,36.67042773453424,36.72600583052474,36.21468734741211,36.21468734741211,189200
2000-08-16,36.370297300866554,36.65930333076342,36.236909902452624,36.39252853393555,219400
2000-08-17,36.52591682230878,36.88161656007929,36.43699188786615,36.72599792480469,358800
2000-08-18,36.859383260744856,36.948308190203825,36.59260847236793,36.67041778564453,52200
2000-08-21,36.90383537843198,36.937182217629356,36.5703669864582,36.803794860839844,129200
2000-08-22,36.82604694539536,37.05947495199159,36.74823760986328,36.74823760986328,195600
2000-08-23,36.703773089446145,36.81492927687632,36.54815442704388,36.692657470703125,153000
2000-08-24,36.89272445337096,37.43738956280608,36.89272445337096,37.237308502197266,276200
2000-08-25,37.25956830400065,37.48188076404839,37.148412073976786,37.3929557800293,208600
2000-08-28,37.570781402135104,37.79309371812407,37.392931549343935,37.459625244140625,156000
2000-08-29,37.54855947477687,37.81533432006836,37.43740328923875,37.81533432006836,140200
2000-08-30,37.78197767758328,37.99317437539854,37.64859028948943,37.85978698730469,619000
2000-08-31,37.99317692823188,38.526726516457494,37.99317692823188,38.23772048950195,151200
2000-09-01,38.41558563338019,38.615666808554046,38.232177889470826,38.548973083496094,186800
2000-09-05,38.49893913036439,38.61565310780595,38.28218460083008,38.28218460083008,110400
2000-09-06,38.460028251498876,38.460028251498876,38.059866107841664,38.11544418334961,217800
2000-09-07,38.28217281473094,38.70456612685631,38.28217281473094,38.682334899902344,213800
2000-09-08,38.48781352851823,38.57118063363416,38.01539993286133,38.01539993286133,128600
2000-09-11,38.20992101018674,38.3544239841889,37.92647286887481,38.05986022949219,314600
2000-09-12,38.282183294243175,38.282183294243175,37.88202109952984,37.937599182128906,93000
2000-09-13,37.77085296586373,38.19324625977274,37.77085296586373,38.12655258178711,81200
2000-09-14,38.29330267975296,38.49338379680247,38.12101060673811,38.348880767822266,114000
2000-09-15,38.14880397231074,38.19326644780294,37.57079179091209,37.63748550415039,67000
2000-09-18,37.80422144922717,37.80422144922717,36.64263922592689,36.74823760986328,201400
2000-09-19,36.981657239368985,37.50409123102824,36.731555860383175,37.348472595214844,54800
2000-09-20,37.341701353694354,37.341701353694354,36.8509502008979,37.05171203613281,40400
2000-09-21,37.11862478431748,37.11862478431748,36.360191345214844,36.360191345214844,207400
2000-09-22,35.690989687831234,36.82863998413086,35.690989687831234,36.82863998413086,127600
2000-09-25,37.24688905495553,37.24688905495553,36.850942188223705,36.87324905395508,113800
2000-09-26,36.8509377745552,36.8509377745552,36.1594250197058,36.34903335571289,65200
